
"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"07","01","IC","543854",,,"","","07","01","CAEZ","INDUSTRY",,"","07","01","11",7.00,10.00,"AM","01",0.00,0.00,0.00,0.00,"CENTRAL","RESERVE","420.50","22",56.00,"2","2","004","E","RNO1","2",14100.00,"1","Y","#4 SWITCH AT CARGILL","1","","4","CGEX","002000","070","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,5220.00,4766.00,"T311","",0.00,0.00,0.00,0.00,"T311","4","1","004",9986.00,,"22C095",0.00,"000000",0.00,"1","0","1","1","10","28","10","28","1","5",,"1L",,"CENTRA","N",147.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"ST JOHN THE BAPTIST","095","","","","N","",,"RNO12-10 WAS SPOTTING CARS ON TRACK #2 AT CARGILL WHEN CGOX 3097, CGAX 9437 & CGEX 2000 DERAILED AT","THE #4 SWITCH ACCOUNT SWITCH OUT OF ADJUSTMENT.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,""
,"07","07","SOO","202376",,,"","","07","07","SOO","202376",,"","07","07","12",12.00,50.00,"AM","12",0.00,0.00,0.00,0.00,"ST PAUL","ENDERLIN","257.0","38",55.00,"4","1","000","E","CUT","3",0.00,"6","N","#2 TRACK","1","000000","2","WCFX","004579","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2261.00,20.00,"H318","",0.00,0.00,0.00,0.00,"H318","2","1","008",16856.00,,"38C073",0.00,"000000",0.00,"0","0","0","0","","","","","1","8",,"1L",,"ST PAU","L",757.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"RANSOM","073","00","00","","N","",,"ENDERLIN 1700 YARD ASSIGNMENT HZ21-11 KICKED 3 TANK CARS WEST INTO # 10 TRACK ON THE EAST END OF END","ERLIN YD. CREW THEN PROCEEDED BACK EAST TO CLEAR THE LEAD AND NEXT MOVE WAS TO SHOVE BACK WEST ON #","2 TRACK TO COUPLE ONTO 3 CARS THEY LEFT THERE PREVIOUSLY. WHEN CONDUCTOR GOT CLOSE TO THIS JOINT HE","NOTICED CORNER DAMAGE TO THE VERY EAST CAR (WCFX 4579 WHEAT PELLETS) ON # 2 TRACK AND STOPPED HIS SH","OVE MOVE. AFTER STOPPING, ALSO DISCOVERED CORNER DAMAGE TO THE VERY WEST CAR OF THOSE JUST KICKED IN","TO # 10 TRACK (ADMX 28503  EMPTY NON-HAZARDOUS TANK).  APPEARS THE 3 CARS ON # 2 TRACK HAD ROLLED OU","T TO FOUL # 10 TRACK SWITCH W/O THE CONDUCTOR NOTICING, AND AFTER THE COLLISION THESE CARS WERE PUSH","ED BACK ON # 2 TRACK IN THE CLEAR APPROXIMATELY 100 FEET.","","","","","","","","0",0.00,0.00,,,,,,""
,"07","01","UP","0107LA003",,,,,"07","01","UP","0107LA003",,,"07","01","04",9.00,15.00,"AM","12",0.00,0.00,0.00,0.00,"LOS ANGELES","EL CENTRO","698.0","06",75.00,"2","1","008","E","LOE3","4",155.00,"7","Y","YARD","1",,"2","CTRN","500112","002","Y",,,"000",,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,9373.00,0.00,"H018",,0.00,0.00,0.00,0.00,"H018","2","1","008",12660.00,,"06C025",0.00,"000000",0.00,"1","0","1","1","05","15","05","15","1","7",,"1L",,"LOS AN","N",166.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"IMPERIAL","025","00","00","","N",,,"LOE37-04 SWITCHING KICKED TWO CARS DOWN THE MAIN AND WENT INTO TRACK 15 AND PICKED UP FOUR CARS AND","WHILE PULLING OUT THE TWO CARS ROLLED INTO FOUL.  NO TRACK DAMAGE.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,""
,"07","01","UP","0107LA003",,,,,"07","01","UP","0107LA003",,,"07","01","04",9.00,15.00,"AM","12",0.00,0.00,0.00,0.00,"LOS ANGELES","EL CENTRO","698.0","06",75.00,"2","1","000","R",,,0.00,"6","N","YARD","1",,"2","TILX","636405","001","Y","","","000",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3287.00,0.00,"H018",,0.00,0.00,0.00,0.00,"H018","2","1","008",12660.00,,"06C025",0.00,"000000",0.00,"0","0","0","0","",,,,"3","7",,"1L",,"LOS AN","N",166.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"IMPERIAL","025","00","00","","N",,,"LOE37-04 SWITCHING KICKED TWO CARS DOWN THE MAIN AND WENT INTO TRACK 15 AND PICKED UP FOUR CARS AND","WHILE PULLING OUT THE TWO CARS ROLLED INTO FOUL.  NO TRACK DAMAGE.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,""
,"07","12","NS","031216",,,"","","07","12","XMIT","INDUSTRY",,"","07","12","17",6.00,11.00,"PM","01",0.00,0.00,0.00,0.00,"PITTSBURGH","WEIRTON","WR041.","54",22.00,"3","1","007","R","C13C","4",1440.00,"1","Y","POCKET SWITCH","1","","4","NS","005240","001","N","","","000","",2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34896.00,600.00,"H702","",0.00,0.00,0.00,0.00,"H702","4","1","007",35496.00,,"54C029",0.00,"000000",0.00,"1","0","1","0","02","41","02","41","1","2",,"1L",,"PITTSB","L",120.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"HANCOCK","029","","","","N","",,"C13C517 PULLING WEST WITH 2 UNITS, 12 LOADS, 0 EMPTIES, WEIRTON YARD DERAILED THE LEAD (NS 5240) AND","2ND (NS 5342) UNIT.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,""
,"07","07","SOO","202376",,,"","","07","07","SOO","202376",,"","07","07","12",12.00,50.00,"AM","12",0.00,0.00,0.00,0.00,"ST PAUL","ENDERLIN","257.0","38",55.00,"4","1","008","E","HZ21","4",320.00,"7","Y","#10 TRACK","1","000000","2","ADMX","028503","004","N","","","000","",0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14575.00,0.00,"H318","",0.00,0.00,0.00,0.00,"H318","2","1","008",16856.00,,"38C073",0.00,"000000",0.00,"1","0","1","0","07","50","07","50","3","8",,"1L",,"ST PAU","L",757.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"RANSOM","073","00","00","","N","",,"ENDERLIN 1700 YARD ASSIGNMENT HZ21-11 KICKED 3 TANK CARS WEST INTO # 10 TRACK ON THE EAST END OF END","ERLIN YD. CREW THEN PROCEEDED BACK EAST TO CLEAR THE LEAD AND NEXT MOVE WAS TO SHOVE BACK WEST ON #","2 TRACK TO COUPLE ONTO 3 CARS THEY LEFT THERE PREVIOUSLY. WHEN CONDUCTOR GOT CLOSE TO THIS JOINT HE","NOTICED CORNER DAMAGE TO THE VERY EAST CAR (WCFX 4579 WHEAT PELLETS) ON # 2 TRACK AND STOPPED HIS SH","OVE MOVE. AFTER STOPPING, ALSO DISCOVERED CORNER DAMAGE TO THE VERY WEST CAR OF THOSE JUST KICKED IN","TO # 10 TRACK (ADMX 28503  EMPTY NON-HAZARDOUS TANK).  APPEARS THE 3 CARS ON # 2 TRACK HAD ROLLED OU","T TO FOUL # 10 TRACK SWITCH W/O THE CONDUCTOR NOTICING, AND AFTER THE COLLISION THESE CARS WERE PUSH","ED BACK ON # 2 TRACK IN THE CLEAR APPROXIMATELY 100 FEET.","","","","","","","","0",0.00,0.00,,,,,,""
,"07","04","TASD","20070416","07","04","NS","028849","07","04","TASD","20070416",,"","07","04","16",7.00,10.00,"AM","01",0.00,0.00,0.00,0.00,"SYSTEM","MOBILE","","01",65.00,"2","1","000","","","2",0.00,"",,"ICG LEAD","1","","2","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15938.00,"E64C","",0.00,0.00,0.00,0.00,"T399","2","1","007",17938.00,,"01C097",0.00,"000000",0.00,,,,,"","","","","2","3",,"3S",,"SYSTEM","",141.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"MOBILE","097","","","","","",,"NORFOLK SOUTHERN WAS DRAGGING T-4 BACK TO THEIR YARD AND IT APPEARS THAT A WORN WHEEL FLANGE SPLIT T","HE SWITCH POINT CAUSING 5 CARS TO DERAIL.","","","","","","","","","","","","","","",0.00,0.00,,,,,,""
,"07","04","TASD","20070425","07","04","CSX","000030621","07","04","TASD","20070425",,"","07","04","25",2.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"SYSTEM","MOBILE","","01",65.00,"4","1","000","R","","1",0.00,"",,"RADCLIFF","1","","4","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2299.00,"T319","",0.00,0.00,0.00,0.00,"T399","4","1","003",14008.00,,"01C097",0.00,"000000",0.00,,,,,"","","","","2","3",,"3S",,"SYSTEM","",317.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"MOBILE","097","","","","","",,"CSX JOB PULLING CARS NORTH IN RADCLIFF YARD TO ALLOW TRR TO GET THE LOCOS ON TRACK #2 RADCLIFF.  DUR","ING THE PULLING MOVEMENT 1 CAR DERAILED AT THE VIRGINIA ST. LEAD SWITCH.  THEY DID NOT KNOW A CAR DE","RAILED UNTIL THEY REVERSED THEIR MOVEMENT, THE DERAILED CAR CAUSED 4 MORE CARS TO DERAIL DURING THE","SHOVING MOVEMENT.","","","","","","","","","","","","",0.00,0.00,,,,,,""
,"07","07","UP","0707CB002",,,,,"07","07","UP","0707CB002",,,"07","07","04",4.00,7.00,"PM","01",0.00,0.00,0.00,0.00,"COUNCIL BLUFFS","OMAHA","9.8","31",90.00,"2","1","009","R","CCKS","3",19305.00,"1","Y","SIDING","1",,"3","CMO","503769","044","Y",,,"000",,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,417815.00,59072.00,"T314",,0.00,0.00,0.00,0.00,"T314","3","1","009",476887.00,,"31C055",0.00,"000000",0.00,"1","0","1","1","02","52","02","52","1","6",,"1L",,"COUNCI","EN",185.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"DOUGLAS","055","","","","N",,,"CCKSN-01 PULLING OUT OF RUFF SIDING TRACK 05-131 AND DERAILED 7 CARS AT THE SPLIT POINT DERAIL ON TH","E EAST END OF THE SIDING DUE TO A BROKEN SWITCH POINT.  6 OF THE CARS WERE DESTROYED.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,""
,"07","09","IC","570289",,,"","","07","09","IC","570289",,"","07","09","26",4.00,30.00,"PM","04",12.00,0.00,0.00,0.00,"CHICAGO","MARKHAM","","17",65.00,"2","1","000","R","M399","2",9635.00,"1","Y","THOROFARE 4","1","","2","ETTX","700474","001","Y","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6464.00,4319.00,"H503","",0.00,0.00,0.00,0.00,"H503","2","1","005",10783.00,,"17C031",0.00,"000000",0.00,"1","0","1","0","02","55","02","55","1","4",,"1L",,"CHICAG","N",406.00,,"2007",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","",,"G87041-23, LOADED GRAIN TRAIN, WAS PULLING INTO F-YARD ON TRACK 11 OFF OF THE THOROFARE 4 NORTH.  AT","THE SAME TIME TRAIN M39931-25 WAS FINISHING HIS AIR TEST ON THOROFARE 4 SOUTH.  WHILE STOPPED HE FI","NISHED HIS AIR TEST, RELEASED THE BRAKES WHEN SLACK ROLLED OUT CAUSING ETTX 700474 TO COLLIDE WITH C","NWX 110778 ON TRAIN G87041-23.  ETTX 700474 DERAILED IN THE IMPACT, NO DAMAGE WAS REPORTED TO CNWX 1","10778.","","","","","","","","","","","0",0.00,0.00,,,,,,""
