"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","CauseCat"
,"08","01","CSX","000041386",,,"","","08","01","CSX","000041386",,"","08","01","01",10.00,30.00,"PM","01",14.00,0.00,0.00,0.00,"FLORENCE","PETERSBURG","0026.0","51",36.00,"4","1","008","R","Q400","1",12500.00,"1","Y","C01","1","000000","2","IBT","019634","011","Y","","","000","",3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,103.00,0.00,39.00,0.00,0.00,11.00,0.00,1.00,0.00,0.00,46810.00,40000.00,"T220","",0.00,0.00,0.00,0.00,"T220","2","1","008",86810.00,,"51C053",0.00,"000000",0.00,"1","0","1","0","04","30","04","30","1","2",,"1L",,"FLOREN","E",85.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"DINWIDDIE","053","","","","N","",,"Q40031 PULLED INTO TRACK C01.  TRAIN WENT OVER BROKEN RAIL RESULTING IN DERAILMENT.**","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041572",,,"","","08","01","CSX","000041572",,"","08","01","06",3.00,26.00,"AM","12",18.00,0.00,0.00,0.00,"NON DIVISION","INDIANAPOLIS","0006.8","18",40.00,"4","4","000","E","Q263","4",8466.00,"1","Y","TRACK 1","3","000061","1","CSXT","007807","001","N","","","000","",2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,52.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115527.00,50000.00,"H995","",0.00,2.00,0.00,2.00,"H995","1","3","023",1822120.00,,"18C097",2.00,"000000",0.00,"1","0","1","0","08","06","08","06","1","4",,"1L",,"NON DI","E",85.00,,"2008",0.00,2.00,0.00,0.00,0.00,0.00,"MARION","097","","","","N","",,"CARS ROLLED OUT OF RECEIVING TRACK 9 AT AVON YARD ONTO MAIN AND STRUCK TRAIN Q26305.#","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041572",,,"","","08","01","CSX","000041572",,"","08","01","06",3.00,26.00,"AM","12",3.00,1.00,0.00,0.00,"NON DIVISION","INDIANAPOLIS","0006.8","18",40.00,"4","4","023","E","","3",0.00,"6","N","TRACK 1","3","000061","1","GACX","000323","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,10.00,0.00,0.00,29.00,0.00,4.00,0.00,0.00,1656600.00,0.00,"H995","",0.00,0.00,0.00,2.00,"H995","1","3","023",1822120.00,,"18C097",0.00,"000000",0.00,"0","0","0","0","","","","","3","4",,"1L",,"NON DI","E",85.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"MARION","097","","","","N","",,"CARS ROLLED OUT OF RECEIVING TRACK 9 AT AVON YARD ONTO MAIN AND STRUCK TRAIN Q26305.#","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041573",,,"","","08","01","ATMJ","INDUSTRY",,"","08","01","03",11.00,50.00,"PM","12",0.00,0.00,0.00,0.00,"C&O","SYLVESTER","0031.4","54",9.00,"4","1","004","R","H892","4",215.00,"1","Y","MASSEY","1","000000","4","CSXT","000349","031","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52000.00,0.00,"H311","",0.00,0.00,0.00,0.00,"H311","4","1","004",52000.00,,"54C005",0.00,"000000",0.00,"1","0","1","0","07","50","07","50","1","2",,"1L",,"C&O","N",83.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"BOONE","005","00","00","","N","",,"H89203 WAS MAKING A REVERSE MOVE AT MINE AND STRUCK LOADOUT CHUTE WITH LOCOMOTIVE.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041584",,,"","","08","01","CSX","000041584",,"","08","01","05",12.00,0.00,"PM","01",0.00,0.00,0.00,0.00,"FLORENCE","GREENWOOD","0418.0","45",50.00,"2","1","010","R","","1",0.00,"6","N","RUNAROUND MONSANTO","1","000000","3","DBUX","230089","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,272362.00,2000.00,"H018","",0.00,0.00,0.00,0.00,"H018","3","1","010",274362.00,,"45C047",0.00,"000000",0.00,"0","0","0","0","","","","","1","3",,"1L",,"FLOREN","N",99.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"GREENWOOD","047","00","00","","N","",,"IMPROPER BRAKE TESTS AND CARS NOT PROPERLY SECURED ON CARS LEFT STANDING RESULTING IN DERAILMENT.**","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041646",,,"","","08","01","CSX","000041646",,"","08","01","07",1.00,20.00,"AM","01",0.00,0.00,0.00,0.00,"ALBANY","SELKIRK","0015.0","36",44.00,"4","2","005","E","Y320","4",0.00,"7","Y","YARD","1","000000","2","CIRR","091208","004","Y","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,16351.00,3000.00,"T307","",0.00,0.00,0.00,0.00,"T307","2","1","005",19351.00,,"36C001",0.00,"000000",0.00,"1","0","1","0","01","21","01","21","1","1",,"1L",,"ALBANY","N",136.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"ALBANY","001","00","00","","N","",,"Y32006 WAS SHOVING 10 CARS WEST TO TRACK 53 IN THE CLASS YARD WHEN THE 2ND THROUGH 4TH CARS DERAILE","D BETWEEN THE BASELINE AND TRACK 47..","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041691",,,"","","08","01","CSX","000041691",,"","08","01","07",3.00,3.00,"PM","01",0.00,0.00,0.00,0.00,"APPALACHIAN","LOUISA","0037.1","21",60.00,"2","1","023","R","U703","4",19900.00,"1","Y","MAINLINE","2","000052","1","CSXT","004822","001","N","","","000","",2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,570086.00,50000.00,"T220","",0.00,0.00,0.00,0.00,"T220","1","2","023",620086.00,,"21C127",0.00,"000000",0.00,"1","0","1","0","10","43","10","43","1","3",,"1L",,"APPALA","E",97.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"LAWRENCE","127","","","","N","",,"U70303 DERAILED LOCOMOTIVES AND CARS ON MAINLINE ACCOUNT BROKEN RAIL-TRANVERSE/COMPOUND FISSURE.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041692",,,"","","08","01","CSX","000041692",,"","08","01","07",2.00,35.00,"PM","01",6.00,0.00,0.00,0.00,"FLORENCE","MAXTON","0281.0","37",65.00,"2","1","017","R","Q401","2",7861.00,"1","Y","SIDING","2","000000","3","CSXT","223055","010","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,39.00,0.00,0.00,10.00,0.00,2.00,0.00,0.00,28060.00,500.00,"T111","",0.00,0.00,0.00,0.00,"T111","3","2","017",28560.00,,"37C155",0.00,"000000",0.00,"1","0","1","0","07","","07","","1","3",,"1L",,"FLOREN","E",162.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"ROBESON","155","","","","N","",,"Q40106 WAS ENTERING WILKES SIDING TO MEET TRAIN Q47007 ON MAIN.  CONDUCTOR ON Q47007 WAS INSPECTING","Q40106 WHEN HE NOTICED CARS DERAILING ON EAST SIDE OF TRACK.**","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041726",,,"","","08","01","ATMJ","INDUSTRY1",,"","08","01","08",10.00,10.00,"PM","01",0.00,0.00,0.00,0.00,"C&O","UNEEDA","0002.0","54",60.00,"4","1","001","R","H840","4",8000.00,"1","Y","#2","1","000000","4","CSXT","392800","040","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,48.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,10205.00,1000.00,"T210","M501",0.00,0.00,0.00,0.00,"T210","4","1","001",11205.00,,"54C005",0.00,"000000",0.00,"1","0","1","0","07","10","07","10","1","2",,"1L",,"C&O","N",54.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"BOONE","005","","","","N","",,"H84008 DERAILED CARS AT INDUSTRY ACCOUNT BROKEN RAIL.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041753",,,"","","08","01","CSX","000041753",,"","08","01","08",12.00,15.00,"PM","12",0.00,0.00,0.00,0.00,"ALBANY","NIAGARA FALLS","0025.0","36",60.00,"2","3","005","E","Y190","3",0.00,"7","Y","614","1","000000","2","UPCX","920128","001","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11300.00,0.00,"H310","",0.00,0.00,0.00,0.00,"H310","2","1","005",11300.00,,"36C063",0.00,"000000",0.00,"1","0","1","0","05","15","05","15","1","1",,"1L",,"ALBANY","N",246.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"NIAGARA","063","","","","N","",,"Y190 WAS SWITCHING OUT Q62807, SWITCHED IN WCTR 533 THEN UPCX 930128 THEN 6 MORE IN BLOCKS OF THREE.","WHEN THE CREW WENT BACK ON THE TRACK TO MAKE ANOTHER TRAIN THEY FOUND THE DAMAGED CARS.  ENGINEER","= 1, 5HRS 15MIN. CONDUCTOR =1, 5 HRS 15 MIN...","","","","","","","","","","","","","1",0.00,0.00,
