"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","CauseCat","signal","mopera","adjunct1","adjunct2","adjunct3","subdiv"
,"10","02","BNSF","SF0210102",,,"","","10","02","BNSF","SF0210102",,"","10","02","07",2.00,45.00,"AM","01",0.00,0.00,0.00,0.00,"SPRINGFIELD","BIRMINGHAM","","01",35.00,"4","1","008","R","YBIR","4",0.00,"7","Y","4101","1","","2","DTTX","750706","028","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,39.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,6743.00,3500.00,"T001","",0.00,0.00,0.00,0.00,"T001","2","1","008",10243.00,,"01C073",0.00,"000000",0.00,"1","0","1","1","04","12","04","12","1","3",,"1L",,"SPRING","N",123.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"JEFFERSON","073","","","","N","",,"Y-BIR3041-06 WHILE PULLING 29 CARS FROM 4101 TRACK DERAILED 2 CARS DUE TO SOFT ROADED. CUT CONTAINED","ARTICULATED EQUIPMENT.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","09","UP","0910TC002",,,"","","10","09","UP","0910TC002",,"","10","09","01",1.00,0.00,"PM","01",0.00,0.00,0.00,0.00,"TWIN CITIES SU","CAMP DOUGLAS","177.5","55",80.00,"2","1","001","R","UECD","1",3994.00,"7","Y","CAMP DOUGLAS IND LD","1","","4","SP","248471","010","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,1544.00,41418.00,"M199","",0.00,0.00,0.00,0.00,"M199","4","1","001",42962.00,,"55C081",0.00,"000000",0.00,"1","0","1","0","06","30","06","30","1","4",,"1L",,"TWIN C","N",457.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"MONROE","081","","","","N","",,"UECDAD-01 PULLING EMPTY BOX CARS FROM STORAGE, COUPLED TO FIRST CARS AND PROCEEDED TO MAKE 3 JOINTS","SHOVING BACK AND STRETCH ALL JOINTS MADE.  AFTER COUPLING ALL THE CARS, TRAIN STARTED TO MOVE NORTH","AND AIR WENT INTO EMERGENCY AND WOULD NOT RECOVER.  INSPECTION REVEALED 6 CARS DERAILED.  INVESTIGAT","ION REVEALED A 65 FOOT TREE HAD FALLEN AGAINST THE WEST SIDE OF THE TRAIN AND AS THE CARS MOVED THE","TREE TOP FELL IN BETWEEN THE CARS CAUSING THEM TO DERAIL.","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","09","UP","0910TC004",,,"","","10","09","AGPZ","INDUSTRY",,"","10","09","07",3.00,15.00,"PM","01",0.00,0.00,0.00,0.00,"TWIN CITIES SU","SHELDON","211.0","19",80.00,"2","1","003","E","LTU4","1",594.00,"7","Y","INDUSTRY","1","","4","AGPX","096034","018","N","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2617.00,13387.00,"T399","",0.00,0.00,0.00,0.00,"T399","4","1","003",16004.00,,"19C141",0.00,"000000",0.00,"1","0","1","0","05","15","05","15","1","6",,"1L",,"TWIN C","N",546.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"O BRIEN","141","","","","N","",,"LTU43-06 PULLED 18 EMPTY GRAIN HOPPERS FROM CP INTERCHANGE TRACK TO SPOT AT INDUSTRY.  CONDUCTOR LIN","ED ROUTE AND GAVE ENGINEER A PULLING DISTANCE AND DIRECTION.  THE CONDUCTOR WAS IN POSITION TO LINE","SWITCHES CP TO UP MAIN/MAIN TO MAIN AFTER CARS PASSED.  CONDUCTOR SAW A CAR LEANING AND TOLD THE ENG","INEER TO PUT THE TRAIN INTO EMERGENCY.  THE TRAILING SET OF TRUCKS ON AGPX96034 PICKED THE FROG, ROD","E TOP OF RAIL & DROPPED OFF DAMAGING UP MAINTAINED TRACK AND INDUSTRY MAINTAINED TRACK.  AG ACTUAL T","RACK DAMAGE = $13,155.  UP TRACK DAMAGE = $232","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","09","UP","0910UT002",,,"","","10","09","UP","0910UT002",,"","10","09","03",11.00,29.00,"PM","01",21.00,5.00,0.00,0.00,"UTAH SU","OGDEN","992.0","49",70.00,"4","1","001","E","LUS3","4",15942.00,"1","Y","NORTH LEG WYE","1","","2","TILX","197000","024","N","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,0.00,52.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,134897.00,2900.00,"H505","",0.00,0.00,0.00,0.00,"H505","2","1","001",137797.00,,"49C057",0.00,"000000",0.00,"1","0","1","2","03","29","03","29","1","7",,"1L",,"UTAH S","N",294.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"WEBER","057","00","00","","N","",,"LUS31-03 ATTEMPTING TO DEPART YARD IN OGDEN WITH 164 CARS AND 16,000 TONS ON A 13 DEGREE CURVE.  ENG","INEER NOTCHED UP PER THE SEQUENCE AND WENT TO NOTCH 6 AND HELD AT NOTCH 6 FOR 12 SECONDS BUT WAS UNA","BLE TO MOVE THE TRAIN.  UPON INSPECTION DISCOVERED THAT 10 CARS HAD STRING LINED AND DERAILED.","","","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","09","UP","0910WH001",,,"","","10","09","UP","0910WH001",,"","10","09","01",10.00,5.00,"AM","01",0.00,0.00,0.00,0.00,"WICHITA SU","COFFEYVILLE","662.6","20",75.00,"2","3","009","E","YCV5","2",3638.00,"7","Y","TRACK 007","1","","2","CRNX","973263","009","Y","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,11394.00,10810.00,"T309","",0.00,0.00,0.00,0.00,"T309","2","1","009",22204.00,,"20C125",0.00,"000000",0.00,"1","0","1","1","03","05","03","05","1","6",,"1L",,"WICHIT","N",152.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"MONTGOMERY","125","00","00","","N","",,"YCV53-01 WAS MOVING INTO YARD TRACK 007 WHEN 4 RAILCARS DERAILED AT THE TRACK 007 SWITCH.  INVESTIGA","TION REVEALED SWITCH STAND MECHANISM WORN OR BROKEN.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","08","KCS","10080501",,,"","","10","08","KCS","10080501",,"","10","08","05",3.00,10.00,"AM","01",0.00,0.00,0.00,0.00,"SOUTHEAST","CENTURY","0107.2","28",80.00,"4","2","003","E","LJA2","3",0.00,"1","Y","GULF STATES","X","","4","CRGX","006684","004","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,58040.00,0.00,"M101","",0.00,1.00,0.00,1.00,"M101","4","X","003",58040.00,,"28C059",1.00,"000000",0.00,"1","0","1","1","09","10","08","10","1","3",,"1L",,"SOUTHE","I",178.00,,"2010",0.00,1.00,0.00,0.00,0.00,0.00,"JACKSON","059","00","00","","N","",,"THE LJA208-04 WAS SHOVING INTO GULF STATES INDUSTRY WHEN ONE TANK CAR OF LIQUID SUGAR DERAILED AND R","OLLED OVER. BRAKEMAN RIDING CAR WAS INJURED WHEN HE JUMPED FROM DERAILING CAR.","","","","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","10","BRC","12673",,,"","","10","10","BRC","12673",,"","10","10","20",6.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"SYSTEM","BEDFORD PARK","9.0","17",55.00,"1","1","004","E","BRC5","3",0.00,"7","Y","4ECLS","1","","2","ICE","260270","016","Y","DME","052133","019","Y",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,24112.00,4420.00,"M599","",0.00,0.00,0.00,0.00,"M599","2","1","004",28532.00,,"17C031",0.00,"000000",0.00,"1","0","1","0","07","25","07","25","1","4",,"3S",,"SYSTEM","N",128.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","0",,"A SKATE WAS LEFT ON THE TRACK CAUSING THE RAIL CARS TO RIDE OVER IT-BREAKING THE RAIL-RESULTING IN T","HE DERAILMENT OF 4 RAILCARS.","","","","","","","","","","","","","","1",0.00,0.00,,,,,,,""
,"10","09","UP","0910LA003","10","09","NSWS","YML0106","10","09","UP","0910LA003",,"","10","09","06",10.00,38.00,"AM","01",0.00,0.00,0.00,0.00,"LOS ANGELES SU","MIRA LOMA","46.0","06",95.00,"2","1","000","","","4",0.00,"",,"LEAD","1","","2","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5748.00,"H307","H702",0.00,0.00,0.00,0.00,"H307","2","7","010",21973.00,,"06C065",0.00,"000000",0.00,"0","0","0","0","","","","","1","7",,"1L",,"LOS AN","N",190.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"RIVERSIDE","065","","","","","",,"A CREW CONTRACTED BY NATIONAL SWITCHING SERVICE OF MIRA LOMA RAN THROUGH THE EAST 109/110 CROSSOVER","SWITCH THEN BACKED UP DERAILING TWO AUTO CARS.  NSWS ESTIMATED EQUIPMENT DAMAGE = $16,225.","","","","","","","","","","","","","","",0.00,0.00,,,,,,,""
,"10","05","BNSF","CA0510102",,,"","","10","05","BNSF","CA0510102",,"","10","05","11",1.00,5.00,"AM","01",80.00,2.00,0.00,0.00,"CALIFORNIA","LONG BEACH","26.0","06",52.00,"4","1","005","R","GRAV","4",10308.00,"1","Y","MAIN TRACK","1","2.85","1","BNSF","007670","003","","","","000","",3.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,8000.00,2800.00,"H607","H702",0.00,0.00,0.00,0.00,"H607","1","1","005",10800.00,,"06C037",0.00,"000000",0.00,"1","0","1","0","08","55","08","55","1","7",,"1L",,"CALIFO","N",287.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"LOS ANGELES","037","00","00","","N","",,"CREW ON G-RAVWAT7-06 WAS MOVING EASTWARD WITH 32 CARS TO IN PREPARATION FOR SHOVE INTO LOMITA RAIL E","THANOL FACILITY.  CREW PULLING THROUGH MAIN TRACK SWITCH THAT WAS LINED AGAINST THEM, THEN SHOVED BA","CK, DERAILING ONE LOCOMOTIVE AND 3 CARS WHEN SPLIT SWITCH.  NO HAZARDOUS MTLS RELEASED.","","","","","","","","","","","","","0",0.00,0.00,,,,,,,""
,"10","02","CSX","000072710",,,"","","10","02","CSX","000072710",,"","10","02","02",2.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"NASHVILLE TERMINAL","NASHVILLE","0190.0","47",43.00,"2","2","006","R","","1",0.00,"6","N","B17","1","0000.0","2","GATX","031001","002","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,19739.00,150.00,"M411","",0.00,0.00,0.00,0.00,"M411","2","1","006",19889.00,,"47C037",0.00,"000000",0.00,"0","0","0","0","","","","","1","3",,"1L",,"NASHVI","N",233.00,,"2010",0.00,0.00,0.00,0.00,0.00,0.00,"DAVIDSON","037","","","","N","",,"DURING HUMPING OPERATIONS, SBD 478808, IN B17, WAS FOULING B18.  THE FOLLOWING CAR, GATX 31001 WAS T","ARGETED TO B18 BUT THE ANTI-CORNERING PROTECTION OF PRO-YARD SYSTEM DIRECTED GATX 31001 TO B17 AND B","YPASSED COUPLERS WITH SBD 478808.","","","","","","","","","","","","","0",0.00,0.00,,"","","","","",""
