"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"12","03","CSX","000101776",,,"","","12","03","CSX","000101776",,"","12","03","17",2.00,18.00,"PM","01",27.00,0.00,0.00,0.00,"","WELLINGTON","0035.0","39",67.00,"2","1","007","R","Q364","3",13256.00,"1","Y","#1","4","0109.3","1","NYC","181007","037","Y","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,173302.00,48200.00,"H526","",0.00,0.00,0.00,0.00,"H526","1","4","007",221502.00,,"39C093",0.00,"000000",0.00,"1","0","1","0","03","18","03","18","1","2",,"1L",,"","",123.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"LORAIN","093","","","","N","CWR",,"Q36417 TRAIN EXPERIENCED AN UN-DESIRED EMERGENCY BRAKE APPLICATION AND SUBSEQUENT BUFF FORCES RESULT","ED IN 4 CARS DERAILING.","","","","","","","","","","","","","","0",41.18,-82.19,"1","1","D","","","GREENWICH"
,"12","04","UP","0412HO034",,,"","","12","04","UP","0412HO034",,"","12","04","23",11.00,15.00,"AM","01",0.00,0.00,0.00,0.00,"","HOUSTON","5.4","48",76.00,"2","1","004","E","LER5","1",766.00,"7","Y","TRACK 710","2","","4","FINX","050303","012","Y","","","000","",1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,8331.00,8906.00,"T499","",0.00,0.00,0.00,0.00,"T499","4","2","004",17237.00,,"48C201",0.00,"000000",0.00,"1","0","1","1","05","15","05","15","1","5",,"1L",,"","",376.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"HARRIS","201","","","","N","OTH",,"LER51-23 WAS SHOVING RAILCARS ON THE VAN LEER LEAD TRACK.  SEVERAL RAILCARS GOT OVER SWITCH THEN 2 R","AILCARS AND 1 LOCOMOTIVE DERAILED.  SWITCH WAS PREVIOUSLY OUT OF SERVICE AND SWITCH POINT CLAMPED.","CLAMP WAS REMOVED TO TIE UP SYSTEM TIE GANG EQUIPMENT AND NOT REPLACED.  SYSTEM GANG USED A SPIKE ON","THE SWITCH POINT AND THAT DIDN'T HOLD AND ALLOWED SWITCH POINT TO GAP OPEN.","","","","","","","","","","","","0",29.83,-95.50,"2","5","","","","EUREKA SUB"
,"12","07","UP","0712SA021",,,"","","12","07","UP","0712SA021",,"450514W","12","07","17",12.00,0.00,"PM","07",0.00,0.00,0.00,0.00,"","LAREDO","400.35","48",95.00,"2","1","008","E","LAV1","2",5394.00,"1","Y","SINGLE MAIN","1","30.2","1","UP","006469","001","","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16500.00,"M304","",0.00,1.00,0.00,1.00,"M304","1","1","008",16500.00,,"48C479",1.00,"000000",0.00,"1","0","1","0","03","","03","","1","5",,"1L",,"","",296.00,,"2012",0.00,0.00,0.00,0.00,0.00,1.00,"WEBB","479","","","","N","CWR",,"LAV16-20, WITH LEAD UNIT UP6469, STRUCK A TRACTOR TRAILER RIG THAT WAS TRYING TO BEAT THE TRAIN.  DR","IVER OF TRUCK SAW THE TRAIN COMING SO HE MOVED FORWARD TO TRY TO CROSS THE CROSSING.  GATES CAME DOW","N ON THE TRAILER.  TRAIN STRUCK THE TRAILER PORTION OF THE TRUCK.  DRIVER WAS ISSUED A CITATION.","","","","","","","","","","","","","0",27.66,-99.46,"1","2","N","R","","LAREDO SUB"
,"12","12","BNSF","NW1212109",,,"","","12","12","BNSF","NW1212109",,"","12","12","17",1.00,40.00,"PM","01",4.00,1.00,1.00,0.00,"","EVERETT","32.0","53",40.00,"2","3","017","E","ZCHC","4",4932.00,"1","Y","MAIN 2 TRACK","2","35.42","1","BNSF","211530","015","Y","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,225352.00,120000.00,"M101","",0.00,0.00,0.00,0.00,"M101","1","2","017",345352.00,,"53C061",0.00,"000000",0.00,"1","0","1","0","06","10","06","10","1","8",,"1L",,"","",269.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"SNOHOMISH","061","","","","N","CWR",,"Z-CHCSSE6-15 DERAILED WHEN STRUCK BY MUD SLIDE.  TRAIN HAS HANDLING ALL ARTICULATED EQUIPMENT.  RELE","ASE OF JBHU27/188 STCC 4936561 UNVN1903 DIV 8 PKGRP II.  4 LIQUID PINTS FROM A NON-BULK PACKAGE WITH","IN INTERMODAL CONTAINER THAT WAS ATOP INTERMODAL FLAT CAR DTTX786993.","","","","","","","","","","","","","0",47.96,-122.23,"1","1","Q","","","SCENIC"
,"12","12","NS","102378",,,"","","12","12","NS","102378",,"","12","12","02",7.00,3.00,"AM","01",0.00,0.00,0.00,0.00,"","CONWAY","ML002.","42",45.00,"1","1","017","R","573C","3",3599.00,"1","Y","SINGLE MAIN TRACK","4","0000","1","NS","022252","034","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,28200.00,85467.00,"M204","",0.00,0.00,0.00,0.00,"M204","1","4","017",113667.00,,"42C007",0.00,"000000",0.00,"1","0","1","0","04","50","04","50","1","2",,"1L",,"","",162.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"BEAVER","007","","","","N","CWR",,"573C201 TRAVELING NORTHWARD WITH 2 UNITS, 0 LOADS, 123 EMPTIES, AND 3599 TONS ON MAIN #2 TRACK, DERA","ILED THE 34TH (NS 22252) AND THE 25TH (NS 47970) HEAD CARS. 
","","","","","","","","","","","","","","0",40.46,-80.04,"1","1","D","","","PITTSBURGH"
,"12","12","NS","102399",,,"","","12","12","NS","102399",,"","12","12","04",6.00,20.00,"PM","01",0.00,0.00,0.00,0.00,"","ALLENTOWN","LB087.","42",61.00,"3","1","001","E","HA61","4",0.00,"7","Y","RT02","X","0000","2","SIRX","476242","037","Y","SIRX","476242","037","Y",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,16650.00,750.00,"E30C","",0.00,0.00,0.00,0.00,"E30C","2","X","001",17400.00,,"42C077",0.00,"000000",0.00,"1","0","1","0","03","20","03","20","1","2",,"1L",,"","",209.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"LEHIGH","077","","","","N","OTH",,"HA61 PULLING EAST WITH 2 UNITS, 65 LOADS, 3 EMPTIES, AND 8202 TONS ONTO RT02 WHEN THE KNUCKLE BROKE","ON SIRX 476242 CAUSING THE SLACK TO ROLL IN AGAINST THE CARS ROLLING EAST, DERAILING DMM 50004 AND N","S 210068.","","","","","","","","","","","","","0",40.61,-75.42,"2","5","L","","","HARRISBURG"
,"12","12","NS","102473","12","12","CSX","000110904","12","12","NS","102473",,"","12","12","09",11.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"","ST CHARLES","","51",55.00,"4","1","000","","","",0.00,"",,"SINGLE MAIN TRACK","1","0025","1","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55520.00,"T210","",0.00,0.00,1.00,1.00,"T210","1","1","009",115475.00,,"51C105",0.00,"000000",0.00,"0","0","0","0","","","","","1","2",,"1L",,"","",52.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"LEE","105","","","","","CWR",,"CSXT TRAIN/CREW DERAILED ON ST. CHARLES BRANCH MAIN.","","","","","","","","","","","","","","","",36.81,-83.05,"2","3","L","","","POCAHONTAS"
,"12","10","UP","1012KC014",,,"","","12","10","CGIZ","INDUSTRY",,"","12","10","26",3.00,45.00,"AM","01",0.00,0.00,0.00,0.00,"","ATCHISON","337.0","20",40.00,"4","2","005","E","GEKC","3",1243.00,"1","Y","414 TRACK","1","","4","TFM","083048","011","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,45168.00,101.00,"H704","",0.00,0.00,0.00,0.00,"H704","4","1","005",45269.00,,"20C005",0.00,"000000",0.00,"1","0","1","1","05","15","05","15","1","6",,"1L",,"","",205.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"ATCHISON","005","","","","N","OTH",,"GEKCAT-25 WHILE SHOVING, DERAILED 1 CAR WHEN THEY ENCOUNTERED A SWITCH THAT HAD BEEN PREVIOUSLY RUN","THROUGH BY THE INDUSTRY.  RESPONSIBLE INDUSTRY CREW MEMBER COULD NOT BE FOUND.  INDUSTRY MAINTAINS T","RACK.","","","","","","","","","","","","","0",39.55,-95.22,"2","5","","","","FALLS CITY SUB"
,"12","10","UP","1012KC015",,,"","","12","10","UP","1012KC015",,"","12","10","28",11.00,55.00,"PM","01",5.00,0.00,0.00,0.00,"","HERINGTON","171.0","20",35.00,"4","1","003","E","LMF4","1",1373.00,"7","Y","501 TRACK","1","","2","CMO","020357","021","N","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10579.00,0.00,"H308","",0.00,0.00,0.00,0.00,"H308","2","1","003",10579.00,,"20C041",0.00,"000000",0.00,"1","0","1","1","04","55","04","55","1","6",,"1L",,"","",96.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"DICKINSON","041","00","00","","N","OTH",,"LMF42-28 WHILE SHOVING, DERAILED 1 CAR DUE TO FAILURE OF CREW TO REMOVE CHOCK.  NO TRACK DAMAGE.","","","","","","","","","","","","","","","0",38.68,-96.94,"2","5","","","","TOPEKA SUB"
,"12","11","UP","1112KC010",,,"","","12","11","UP","1112KC010",,"","12","11","18",9.00,50.00,"PM","01",0.00,0.00,0.00,0.00,"","ST JOSEPH","349.0","29",55.00,"4","1","002","E","YSJ6","2",931.00,"7","Y","771 TRACK","1","","2","TBOX","666465","007","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,195821.00,5489.00,"H303","",0.00,0.00,0.00,0.00,"H303","2","1","002",201310.00,,"29C021",0.00,"000000",0.00,"2","0","0","0","04","50","","","1","6",,"1L",,"","",121.00,,"2012",0.00,0.00,0.00,0.00,0.00,0.00,"BUCHANAN","021","00","00","","N","OTH",,"YSJ60R-18 WHILE MAKING A REVERSE MOVEMENT, SHOVED OVER A DERAIL, THEN PULLED AHEAD RESULTING IN THE","DERAILMENT OF 4 CARS.","","","","","","","","","","","","","","3",39.70,-94.87,"2","5","","","","ATCHISON IND LD"
